,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,International Group information,,,,,,,,,
,,Local Support level:,,,,,,,,,
,,"Supporting organization (Congregation, Mission Center, Graceland University) et al ",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Name,Foster Mayfield ,,,,,,,Name,Widget Atkins
,,Gender,M,,,,,,,Gender,M
,,Nationality,Persian,,,,,,,Nationality,Burmese
,,Emergency Contact,Sandra Atkins 555-555-5555,,,,,,,Emergency Contact,Sandra Atkins 555-555-5555
,,Languages spoken,broken English,,,,,,,Languages spoken,Brokern English
,,Return visit to area,no,,,,,,,Return visit to area,No
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
,,Languages spoken,,,,,,,,Languages spoken,
,,Return visit to area,,,,,,,,Return visit to area,
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
,,Languages spoken,,,,,,,,Languages spoken,
,,Return visit to area,,,,,,,,Return visit to area,
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
,,Languages spoken,,,,,,,,Languages spoken,
,,Return visit to area,,,,,,,,Return visit to area,
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
,,Languages spoken,,,,,,,,Languages spoken,
,,Return visit to area,,,,,,,,Return visit to area,
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
,,Languages spoken,,,,,,,,Languages spoken,
,,Return visit to area,,,,,,,,Return visit to area,
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
,,Languages spoken,,,,,,,,Languages spoken,
,,Return visit to area,,,,,,,,Return visit to area,
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
,,Languages spoken,,,,,,,,Languages spoken,
,,Return visit to area,,,,,,,,Return visit to area,
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
,,Languages spoken,,,,,,,,Languages spoken,
,,Return visit to area,,,,,,,,Return visit to area,
,,,,,,,,,,,
,,Name,,,,,,,,Name,
,,Gender,,,,,,,,Gender,
,,Nationality,,,,,,,,Nationality,
,,Emergency Contact,,,,,,,,Emergency Contact,
